Date,VLUE,MGK,MTUM,USMV
2014-01-03,0.236,0.267,0.299,0.197
2014-01-10,0.235,0.267,0.301,0.197
2014-01-17,0.236,0.268,0.299,0.197
2014-01-24,0.235,0.268,0.299,0.198
2014-01-31,0.236,0.267,0.3,0.198
2014-02-07,0.234,0.268,0.301,0.197
2014-02-14,0.235,0.267,0.301,0.197
2014-02-21,0.234,0.267,0.302,0.198
2014-02-28,0.234,0.267,0.301,0.197
2014-03-07,0.235,0.267,0.301,0.197
2014-03-14,0.235,0.266,0.299,0.2
2014-03-21,0.237,0.267,0.298,0.197
2014-03-28,0.24,0.265,0.295,0.2
2014-04-04,0.239,0.266,0.295,0.2
2014-04-11,0.24,0.265,0.294,0.202
2014-04-18,0.238,0.266,0.296,0.2
2014-04-25,0.239,0.266,0.294,0.201
2014-05-02,0.238,0.266,0.296,0.2
2014-05-09,0.239,0.265,0.295,0.201
2014-05-16,0.238,0.266,0.295,0.201
2014-05-23,0.237,0.266,0.297,0.199
2014-05-30,0.238,0.266,0.297,0.199
2014-06-06,0.238,0.267,0.296,0.199
2014-06-13,0.239,0.266,0.296,0.199
2014-06-20,0.239,0.265,0.297,0.199
2014-06-27,0.238,0.267,0.296,0.199
2014-07-04,0.238,0.267,0.296,0.199
2014-07-11,0.238,0.266,0.295,0.2
2014-07-18,0.239,0.266,0.295,0.2
2014-07-25,0.238,0.266,0.297,0.199
2014-08-01,0.237,0.266,0.296,0.2
2014-08-08,0.238,0.267,0.295,0.201
2014-08-15,0.237,0.267,0.296,0.2
2014-08-22,0.237,0.267,0.296,0.2
2014-08-29,0.238,0.266,0.296,0.2
2014-09-05,0.237,0.266,0.297,0.2
2014-09-12,0.237,0.267,0.296,0.2
2014-09-19,0.238,0.266,0.296,0.2
2014-09-26,0.237,0.266,0.297,0.201
2014-10-03,0.236,0.265,0.296,0.202
2014-10-10,0.237,0.265,0.294,0.205
2014-10-17,0.236,0.265,0.294,0.204
2014-10-24,0.235,0.266,0.297,0.202
2014-10-31,0.236,0.266,0.295,0.203
2014-11-07,0.237,0.265,0.295,0.203
2014-11-14,0.235,0.267,0.294,0.203
2014-11-21,0.236,0.266,0.295,0.203
2014-11-28,0.233,0.266,0.296,0.204
2014-12-05,0.236,0.265,0.296,0.203
2014-12-12,0.233,0.265,0.296,0.205
2014-12-19,0.235,0.266,0.295,0.204
2014-12-26,0.236,0.266,0.294,0.205
2015-01-02,0.236,0.265,0.294,0.205
2015-01-09,0.234,0.264,0.296,0.206
2015-01-16,0.234,0.263,0.295,0.208
2015-01-23,0.233,0.265,0.296,0.206
2015-01-30,0.232,0.267,0.295,0.206
2015-02-06,0.235,0.266,0.294,0.205
2015-02-13,0.177,0.312,0.254,0.257
2015-02-20,0.172,0.312,0.259,0.258
2015-02-27,0.174,0.31,0.256,0.26
2015-03-06,0.172,0.313,0.257,0.257
2015-03-13,0.173,0.31,0.257,0.26
2015-03-20,0.17,0.311,0.261,0.258
2015-03-27,0.172,0.308,0.258,0.262
2015-04-03,0.176,0.31,0.252,0.262
2015-04-10,0.176,0.311,0.256,0.257
2015-04-17,0.18,0.307,0.254,0.258
2015-04-24,0.176,0.31,0.256,0.258
2015-05-01,0.185,0.306,0.253,0.256
